pl_name,disc_year,disc_pubdate,sy_dist,discoverymethod,pl_orbper,pl_orbsmax,pl_rade,pl_masse,pl_eqt,pl_insol,st_teff,st_mass,st_rad
K2-7 b,2015,2015-08,738.55300000,Transit,28.67770000000,0.1864000000,4.12000000,,,125.0000,5715.00,1.050000,2.130000
GJ 433 b,2011,2013-01,9.06456000,Radial Velocity,7.37090000000,0.0580000000,,,,,3600.00,0.480000,
K2-159 b,2018,2018-03,170.99800000,Transit,12.42107800000,,2.20753881,,,,5419.00,0.885700,0.829915
Kepler-1950 b,2021,2022-02,697.25300000,Transit,10.77690029000,,1.52696349,,,,5455.00,0.759000,0.852000
Kepler-1589 b,2016,2016-05,1513.14000000,Transit,0.99166527400,,1.09000000,,,,6166.00,1.180000,1.250000
HD 219134 b,2015,2015-12,6.53127000,Radial Velocity,3.09292000000,0.0386300000,1.53300000,,930.10,,4700.00,0.810000,0.778000
Kepler-471 b,2016,2016-05,1249.41000000,Transit,5.01423250000,0.0600000000,9.00000000,,1225.00,,6411.00,1.170000,1.130000
KMT-2016-BLG-2605L b,2021,2021-09,6421.00000000,Microlensing,,0.6810000000,,245.04570180,,,,0.064000,
Kepler-1564 b,2016,2016-05,908.80500000,Transit,18.05414690000,,,,,,5435.00,0.950000,0.965104
Kepler-106 c,2014,2014-02,444.32200000,Transit,13.57076622000,0.1093000000,2.35000000,,796.00,94.8900,5881.00,0.944000,1.029000
Kepler-1494 b,2016,2016-05,1285.48000000,Transit,91.08048200000,,3.07000000,,,,5659.00,0.960000,0.940000
HD 20329 b,2022,2022-11,63.67960000,Transit,0.92606320000,,1.67736000,,1576.00,1025.8400,5640.00,,1.110000
Kepler-1162 c,2023,2023-05,940.21100000,Transit,59.28415710000,0.2892000000,1.79000000,,418.00,7.1900,5575.00,0.917000,0.834000
Kepler-180 b,2014,2014-03,695.65000000,Transit,,,1.84600000,,,72.1190,5731.00,,0.930000
Kepler-824 b,2016,2016-05,1201.40000000,Transit,4.51437465280,,,,,,5975.64,1.100000,1.073900
Kepler-1276 b,2016,2016-05,538.48100000,Transit,12.57252272760,,,,,,6257.00,1.220000,1.096790
K2-384 e,2022,2022-03,82.66030000,Transit,9.71504300000,,1.34500000,,,,3623.00,0.330000,0.348000
WASP-52 b,2012,2013-01,174.81800000,Transit,1.74977464574,,15.55890793,,1265.31,605.7625,5087.00,,0.856841
Ross 458 c,2010,2010-12,11.50940000,Imaging,,1100.0000000000,14.01125000,1906.98000000,,,,,
Kepler-1471 c,2023,2023-05,978.67800000,Transit,11.60446940000,0.0929000000,1.46000000,,784.00,89.2000,5881.00,0.794000,0.848000
Kepler-286 e,2014,2014-03,1226.85000000,Transit,29.22149590000,0.1723000000,1.81000000,,539.00,20.0300,5576.00,0.800000,0.829000
Kepler-534 b,2016,2016-05,570.65900000,Transit,15.95995458000,,,,,,5927.00,1.080000,1.123770
K2-343 b,2021,2021-08,166.16900000,Transit,2.78711000000,,2.00000000,,,,,,0.507000
Kepler-574 b,2016,2016-05,682.89600000,Transit,7.65877400000,0.0740000000,2.70000000,,861.00,,5666.00,0.917000,0.880000
OGLE-2014-BLG-1760L b,2016,2016-11,6860.00000000,Microlensing,,1.7500000000,,180.00000000,,,,0.510000,
Kepler-1047 c,2016,2016-05,817.64700000,Transit,3.18899015000,,,,,,5566.56,0.980000,1.750950
Kepler-1488 b,2016,2016-05,905.82500000,Transit,39.81899320000,,1.86000000,,,,5820.00,1.050000,1.310000
Kepler-983 b,2016,2016-05,714.43700000,Transit,60.08538480000,0.3148000000,2.40000000,,485.00,13.0700,6028.00,1.149000,1.047000
Kepler-244 d,2014,2014-03,1036.49000000,Transit,20.05040157000,0.1412200000,2.96200000,,,30.2000,5498.00,0.933000,0.857000
Kepler-1436 b,2016,2016-05,2530.62000000,Transit,9.70571600000,0.0881000000,1.26000000,,943.00,186.8900,6198.00,0.969000,1.048000
OGLE-TR-56 b,2002,2003-01,,Transit,1.21190900000,,14.57170000,410.00070000,,,6119.00,1.170000,1.320000
Kepler-409 b,2014,2014-02,68.17300000,Transit,68.95860800000,0.3198000000,0.98000000,,402.00,6.2000,5460.00,0.918000,0.893000
Kepler-721 b,2016,2016-05,926.59800000,Transit,,,2.83600000,,,138.7510,5201.00,,0.848000
GJ 163 c,2013,2013-08,15.12850000,Radial Velocity,25.63058000000,0.1254000000,,,,,,,
Kepler-1322 b,2016,2016-05,1350.32000000,Transit,0.96286417100,0.0183000000,1.52000000,,1666.00,1828.6700,5704.00,0.897000,0.804000
